id,#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName
156,KOKB00USA,-5543838.3609,-2054586.6103,2387810.1225,22.126263777777776,-159.6649297777778,1167.5216,SEPT POLARX5TR
157,KOKV00USA,-5543838.3609,-2054586.6103,2387810.1225,22.126263777777776,-159.6649297777778,1167.5216,JAVAD TRE_G3TH DELTA
158,KOS100NLD,3899613.948,397361.592,5014738.666,52.17335555555557,5.818225000000001,104.8,SEPT POLARX5E
159,KOUC00NCL,-5751222.662,1617967.645,-2225744.218,-20.55869722222221,164.2873333333333,84.17,TRIMBLE NETR9
160,KOUG00GUF,3855263.0,-5049731.0,563040.0,5.0984708675,-52.63975015083333,107.248,SEPT POLARX5TR
161,KOUR00GUF,3839591.447,-5059567.538,579956.867,5.2522,-52.806,-25.57,SEPT POLARX5TR
162,KRGG00ATF,1406336.2099,3918154.6213,-4816172.8453,-49.351543011111104,70.2555059277778,72.9673,TRIMBLE ALLOY
163,KSU100USA,-570504.689,-4923591.018,4001208.4839,39.10075000000001,-96.60948333333334,325.5905,SEPT POLARX5
164,KUJ200CAN,773263.38,-3557025.2,5219841.77,55.29000833333334,-77.73527222222222,8.6,SEPT POLARX5
165,KZN200RUS,2352345.7,2717466.1,5251458.5,55.79078333333331,49.11924444444445,94.6,TRIMBLE ALLOY
166,LAMA00POL,3524523.0,1329693.0,5129846.0,53.89240000000001,20.669933333333333,186.7,LEICA GR50
167,LAUT00FJI,-6075194.5,270924.0,-1917189.6,-17.60880555555556,177.44658333333334,89.7,SEPT POLARX5
168,LCK400IND,894678.4718,5620595.0084,2869567.4303,26.91214166666667,80.95561666666669,64.2,TRIMBLE ALLOY
169,LEIJ00DEU,3898736.2,855345.5,4958372.6,51.35398333333335,12.37410277777778,178.4,JAVAD TRE_3 DELTA
170,LHAZ00CHN,-106943.5,5549296.14,3139212.6,29.65733055555556,91.1040222222222,3622.0,LEICA GR25
171,LICC00GBR,3978703.569,-12141.038,4968417.218,51.49978888888889,-0.1748388888888888,88.7,CHC P5E
172,LMMF00MTQ,2993387.952,-5399363.731,1596748.042,14.594816666666668,-60.99616944444443,-27.0,TRIMBLE ALLOY
173,LPAL00ESP,5326648.0,-1719828.0,3052056.0,28.76395833333333,-17.893838888888894,2207.0,LEICA GR50
174,LPGS00ARG,2780102.9896,-4437418.9149,-3629404.5253,-34.90674444444445,-57.93230000000001,29.9,JAVAD TRE_3
175,LROC00FRA,4424632.8,-94175.5,4577543.9,46.15893888888889,-1.2193194444444444,57.9,LEICA GR25
176,M0SE00ITA,4642432.5,1028629.4,4236854.2,41.89311388888889,12.493258333333332,120.6,LEICA GR50
177,MAC100AUS,-3464038.831,1334173.214,-5169223.926,-54.499527777777786,158.93583055555558,-6.8,SEPT POLARX5
178,MADR00ESP,4849202.394,-360328.9929,4114913.1862,40.42916111111111,-4.249658333333333,829.5,JAVAD TRE_G3TH DELTA
179,MAJU00MHL,-6257572.5057,950332.3662,785215.1556,7.119136111111112,171.364525,33.9,SEPT POLARX5
180,MAL200KEN,4865385.694,4110717.189,-331137.637,-2.996,40.194,-20.4,SEPT POLARX5
181,MANA00NIC,407981.838,-6222925.713,1333528.967,12.148938888888884,-86.24899444444446,71.0,SEPT POLARX5
182,MAR600SWE,2998189.713,931451.589,5533398.473,60.59514166666666,17.258522222222215,75.4,SEPT POLARX5
183,MAR700SWE,2998198.758,931449.71,5533392.638,60.59505277777776,17.258438888888897,74.3,TRIMBLE ALLOY
184,MARS00FRA,4630532.8,433946.1,4350142.6,43.27876944444445,5.353783333333333,61.7,LEICA GR50
185,MAS100ESP,5439192.263,-1522055.61,2953454.72,27.7637388888889,-15.633277777777774,197.2,SEPT POLARX5
186,MAT100ITA,4641951.507,1393053.602,4133280.821,40.6490611111111,16.70454444444444,534.5,LEICA GR30
187,MATE00ITA,4641949.709,1393045.298,4133287.333,40.64913055555554,16.70445833333333,535.6,LEICA GR30
188,MATG00ITA,4641953.035,1393063.547,4133279.589,40.649027777777775,16.704652777777778,537.0,LEICA GR10
189,MAW100ATA,1111287.138,2168911.297,-5874493.644,-67.6048,62.870700000000014,59.2,SEPT POLARX5
190,MAYG00MYT,4379104.6069,4418744.4751,-1401897.9428,-12.782053177222226,45.25815193666667,-16.35,TRIMBLE ALLOY
191,MBAR00UGA,5482951.3876,3260442.6429,-66519.8489,-0.6014690555555555,30.73787619444445,1337.6533,JAVAD TRE_3 DELTA
192,MCHL00AUS,-4857858.9306,3018464.3696,-2814983.2242,-26.35890277777777,148.14496111111114,534.6,TRIMBLE ALLOY
