,Latitude,Longitude,Height,pr_level,stats,obs,snr,gaps,multipath,segment,TOPSIS
GCGO00USA,64.97803647222223,-147.49944680555555,319.1771,11,100,29657.5,44.379999999999995,81.7,0.41000000000000003,22,3
GENO00ITA,44.4194,8.921116666666668,153.5,5,100,25129.5,46.19,163.7,0.259,1,10
GLPS00ECU,-0.7429986388888888,-90.3036685833333,1.7882,1,100,33649.2,41.769999999999996,25.1,0.45099999999999996,60,1
GLSV00UKR,50.36417777777777,30.49673888888889,226.8,2,100,32135.2,42.870000000000005,54.2,0.397,76,1
GODE00USA,39.02172758333332,-76.82683049999997,14.5046,1,100,28930.6,43.269999999999996,137.8,0.278,7,3
GODN00USA,39.021166666666666,-76.82708333333335,18.0,3,100,29139.4,40.45,102.8,0.5129999999999999,7,6
GODS00USA,39.03477777777777,-77.38697222222221,19.1,3,100,29275.7,42.91,90.9,0.381,7,2
GOLD00USA,35.42515555555556,-116.88925000000005,986.6779,2,100,31219.1,43.25,67.1,0.742,56,3
GOP600CZE,49.91366666666666,14.785602777777784,592.6,11,100,31303.6,42.769999999999996,135.0,0.22999999999999998,46,8
GOPE00CZE,49.913705555555566,14.785622222222218,592.6,11,100,29961.0,43.239999999999995,107.1,0.31999999999999995,46,9
GRAC00FRA,43.75448611111112,6.920761111111111,1319.8,3,100,29625.8,45.85,60.9,0.215,1,2
GRAZ00AUT,47.06712777777778,15.493475,538.3,2,100,30502.0,43.44,77.5,0.3430000000000001,46,2
GUAM00GUM,13.589330555555556,144.86835833333336,201.914,1,100,27564.0,40.970000000000006,208.0,0.35300000000000004,72,1
HAL100USA,20.70750555555555,-156.25619444444445,3049.0,11,100,32813.4,42.07000000000001,141.2,0.489,16,4
HARB00ZAF,-25.88696174055555,27.707245846666662,1558.078,2,100,31756.2,42.779999999999994,66.5,0.28300000000000003,78,2
HERS00GBR,50.86730000000001,0.3361999999999999,76.5,3,100,29511.9,44.13000000000001,148.5,0.348,38,5
HKSL00HKG,22.37200555555556,113.92798055555556,95.3,5,100,29283.3,47.010000000000005,94.7,0.24399999999999994,8,2
HKWS00HKG,22.434283333333337,114.3353777777778,63.8,11,100,27758.0,47.510000000000005,32.4,0.198,8,1
HOB200AUS,-42.80470555555554,147.4387361111111,41.0,2,100,30574.6,43.06,133.5,0.33599999999999997,98,1
HOFN00ISL,64.26729444444443,-15.197913888888886,82.9,3,100,32929.1,47.99,58.6,0.24,53,3
HOLB00CAN,50.64040000000001,-128.135,560.0,4,100,34420.8,42.029999999999994,70.8,0.23499999999999996,3,3
HRAO00ZAF,-25.89010555555556,27.68698055555556,1414.3,1,100,29044.9,42.57000000000001,86.0,0.271,78,1
IENG00ITA,45.01513333333334,7.639405555555555,316.6,11,100,29649.7,42.29,44.5,0.22999999999999998,1,4
IISC00IND,13.021165861111111,77.57037594444444,843.7145,1,100,28090.5,40.81,294.7,0.30199999999999994,24,2
ISHI00JPN,36.20883333333333,140.21895555555554,155.83,3,100,25695.4,43.18000000000001,49.8,0.248,0,4
ISTA00TUR,41.10444722222224,29.019338888888885,147.2,11,100,28815.7,41.3,77.6,0.347,49,3
JCTW00ZAF,-33.95143333333333,18.46855,83.596,11,100,26213.1,43.720000000000006,26.8,0.348,17,3
JDPR00IND,26.20670555555556,73.02382500000002,168.2,11,100,27994.222222222223,41.89999999999999,54.22222222222222,0.2888888888888889,55,3
JFNG00CHN,30.51556541194444,114.49101890027777,71.324,2,100,25760.777777777777,42.37777777777778,77.44444444444444,0.3,66,1
JOZ200POL,52.09783055555556,21.032341666666667,152.3,5,100,32786.22222222222,42.46666666666666,84.44444444444444,0.6733333333333333,46,10
JOZE00POL,52.097272222222216,21.03153333333333,141.4,4,100,29637.5,43.3,184.0,0.375,46,7
JPLM00USA,34.20481944444445,-118.17322500000004,423.9843,3,100,28355.4,42.93,81.2,0.21400000000000002,56,2
KARR00AUS,-20.98142222222221,117.09719722222218,109.1,4,100,32356.5,39.519999999999996,134.5,0.32799999999999996,4,4
KAT100AUS,-14.375994444444444,132.15327777777782,184.3,2,90,33493.88888888889,41.911111111111104,135.44444444444446,0.4288888888888889,34,1
KERG00ATF,-49.35146693888888,70.25552387944447,73.009,1,100,31161.5,41.5,326.0,0.43100000000000005,35,1
KIR000SWE,67.87757222222223,21.060233333333336,498.0,5,100,33271.9,43.0,106.9,0.256,47,2
KIR800SWE,67.87754166666667,21.060177777777785,498.0,11,100,33252.2,44.29,85.4,0.31,47,4
KIRU00SWE,67.85734999999997,20.96844166666667,390.9,1,100,34795.1,42.40999999999999,150.6,0.42400000000000004,47,3
KIT300UZB,39.13476666666666,66.88544999999999,622.6,2,100,22192.3,42.080000000000005,265.6,0.369,11,3
KITG00UZB,39.1333864027778,66.88673816111113,620.631,3,100,28847.555555555555,42.57777777777778,103.55555555555556,0.27222222222222225,11,1
KMNM00TWN,24.463822222222227,118.38857777777774,49.1,5,100,27696.3,41.11,553.3,0.301,97,3
KOKB00USA,22.126263777777776,-159.6649297777778,1167.5216,1,100,31020.4,42.35999999999999,200.1,0.404,16,3
KOKV00USA,22.126263777777776,-159.6649297777778,1167.5216,3,100,30084.2,42.77,104.9,0.534,16,2
KOS100NLD,52.17335555555557,5.818225000000001,104.8,11,100,35128.4,44.269999999999996,56.5,0.275,38,3
KOUG00GUF,5.0984708675,-52.63975015083333,107.248,2,100,36158.2,43.96,49.9,0.32,9,1
KOUR00GUF,5.2522,-52.806,-25.57,1,100,34216.6,42.28,136.5,0.348,9,2
KRGG00ATF,-49.351543011111104,70.2555059277778,72.9673,3,100,32143.3,43.59,163.8,0.343,35,2
KUJ200CAN,55.29000833333334,-77.73527222222222,8.6,11,100,31017.7,43.87,67.9,0.344,75,2
LAUT00FJI,-17.60880555555556,177.44658333333334,89.7,4,90,31176.444444444445,41.53333333333334,227.0,0.41555555555555557,32,4
LCK400IND,26.91214166666667,80.95561666666669,64.2,5,90,27729.777777777777,43.94444444444444,24.333333333333332,0.25333333333333335,55,1
LEIJ00DEU,51.35398333333335,12.37410277777778,178.4,11,100,34971.1,44.85,64.8,0.34,46,6
LHAZ00CHN,29.65733055555556,91.1040222222222,3622.0,2,100,25072.4,47.14,86.1,0.42300000000000004,40,1
LICC00GBR,51.49978888888889,-0.1748388888888888,88.7,11,100,31148.2,42.56,97.6,0.32999999999999996,38,7
LMMF00MTQ,14.594816666666668,-60.99616944444443,-27.0,2,100,33196.0,42.83999999999999,195.5,0.36,42,2
LPGS00ARG,-34.90674444444445,-57.93230000000001,29.9,4,100,24375.2,44.82999999999999,304.8,0.382,2,5
