,Latitude,Longitude,Height,pr_level,stats,obs,snr,gaps,multipath,segment,TOPSIS
THTG00PYF,-17.577060279999998,-149.6064383936111,97.994,3,100,31772.9,43.86,120.5,0.29500000000000004,64,1
THU200GRL,76.53704722222221,-68.82505000000002,36.2,3,100,33738.3,43.78,68.9,0.309,58,1
TID100AUS,-35.39919722222223,148.98000000000002,665.3,4,100,28717.6,42.06,79.8,0.24299999999999997,18,2
TIT200DEU,51.03523333333334,6.431580555555556,156.1,11,100,34614.5,44.8,123.3,0.34099999999999997,38,9
TLSE00FRA,43.56069444444444,1.480872222222222,207.2,2,100,31241.2,42.8,61.8,0.371,95,2
TLSG00FRA,43.54970833333334,1.4850361111111112,208.7,3,100,31931.2,42.79,77.5,0.2840000000000001,95,1
TONG00TON,-21.144713888888887,-175.17922222222222,56.3,5,100,31704.6,41.14,254.8,0.799,32,5
TOPL00BRA,-10.171052777777774,-48.33067777777779,256.55,11,100,34074.8,42.849999999999994,86.7,0.6489999999999999,62,2
TOW200AUS,-19.269272222222227,147.0556916666667,88.1,1,100,30749.9,42.55,65.1,0.379,77,1
TRO100NOR,69.66271388888889,18.93963055555556,138.0,3,100,33781.5,43.10000000000001,55.6,0.366,47,1
TSK200JPN,36.105575,140.0871166666667,69.93,11,100,26030.1,41.94,39.4,0.289,0,6
TSKB00JPN,36.10568055555555,140.08749722222225,67.3,2,100,25709.2,43.74,73.6,0.26399999999999996,0,2
TUVA00TUV,-8.525291666666668,179.19656111111115,38.4,4,100,31809.8,41.36999999999999,109.1,0.379,32,2
TWTF00TWN,24.9536,121.1645,203.122,11,100,28092.6,39.64,114.6,0.42399999999999993,97,2
UCAL00CAN,51.07997499999999,-114.13385000000004,1118.8,11,100,32864.6,42.79,60.2,0.9289999999999999,3,9
UCLU00CAN,48.9256,-125.5416,10.0,11,100,28613.3,42.849999999999994,147.0,0.32499999999999996,3,8
UFPR00BRA,-25.448368583333338,-49.23095477777778,925.8,4,100,29883.4,43.45,200.7,0.716,14,5
ULAB00MNG,47.86506666666666,107.05233055555551,1575.7,5,100,29002.0,42.29,91.8,0.378,30,2
URAL00RUS,56.83827500000002,60.61485833333334,279.96,11,100,31023.7,42.519999999999996,72.4,0.41200000000000003,61,1
URUM00CHN,43.80794999999999,87.60067222222222,858.9,2,100,31177.5,42.029999999999994,55.1,0.327,69,2
USCL00CHL,-33.449852777777764,-70.68134444444443,570.2,11,100,30695.5,43.39,83.7,0.26799999999999996,2,4
USN800USA,38.92056611388888,282.93372340277773,58.924,11,100,29192.6,44.080000000000005,88.9,0.277,7,8
USN900USA,38.92056611388888,282.93372340277773,58.924,11,100,27686.0,47.43,29.7,0.378,7,7
USUD00JPN,36.13311025,138.36204361111118,1508.6193,3,100,24971.4,42.22,188.1,0.29100000000000004,0,5
UTQI00USA,71.32275555555557,-156.6150166666667,12.1,11,100,36384.2,43.72,188.8,0.6839999999999999,22,4
VACS00MUS,-20.29709108333333,57.49703663888889,420.4,4,100,29577.6,42.40999999999999,150.0,0.39,79,2
VILL00ESP,40.443591666666656,-3.9519805555555534,647.4,11,100,28444.8,43.18,180.6,0.42299999999999993,15,8
VIS000SWE,57.65386666666667,18.36731111111111,79.8,5,100,32860.5,42.22,70.7,0.28500000000000003,82,1
VOIM00MDG,-21.9063,46.79327222222223,1163.3,5,100,30267.5,42.779999999999994,71.3,0.5349999999999999,5,2
WARN00DEU,54.16978888888888,12.101427777777776,50.7,5,100,35221.8,44.88,91.4,0.362,92,2
WHIT00CAN,60.75050000000001,-135.2221,1427.0,4,100,29694.4,43.99999999999999,60.8,0.24900000000000003,22,1
WILL00CAN,52.23690000000002,-122.1678,1096.0,4,100,34388.9,42.37,84.4,0.30599999999999994,3,5
WIND00NAM,-22.57491944444444,17.08943055555556,1734.7,4,100,31064.7,43.03,64.3,0.32,91,1
WROC00POL,51.11326388888888,17.06202777777777,180.3,5,100,32117.7,46.89,74.9,0.089,46,1
WSRT00NLD,52.91460000000002,6.604499999999998,86.0,4,100,32203.4,42.68,81.1,0.27,38,1
WUH200CHN,30.5317,114.35730000000002,25.8,11,100,24362.1,42.25,38.5,0.33899999999999997,66,3
WUHN00CHN,30.531652777777783,114.35726111111109,28.2,2,100,22203.0,41.89999999999999,132.9,0.368,66,2
XMIS00AUS,-10.449958333333337,105.6885055555556,261.5,4,100,31575.9,40.11,124.8,0.6639999999999999,19,3
YAR200AUS,-29.046547222222227,115.3469833333333,241.3,1,100,29544.0,40.2,31.7,0.438,4,1
YAR300AUS,-29.046488888888884,115.34715833333333,242.4,3,100,32854.3,42.29,79.4,0.386,4,2
YARR00AUS,-29.04658055555556,115.34698055555552,241.3,3,100,30635.1,40.73,123.6,0.20900000000000002,4,3
YEBE00ESP,40.52489722222223,-3.0886305555555555,972.8,2,100,25668.6,47.36,52.3,0.28300000000000003,15,2
YELL00CAN,62.48089999999999,-114.48070000000004,181.0,1,100,31350.6,44.230000000000004,96.0,0.43199999999999994,70,1
YKRO00CIV,6.870560277777779,-5.240092972222223,270.0,5,100,34986.7,41.580000000000005,104.5,0.41900000000000004,21,1
ZAMB00ZMB,-15.425540805555558,28.311012361111107,1324.9144,4,100,34627.3,42.31,67.5,0.318,48,1
ZECK00RUS,43.78839166666668,41.56506666666665,1167.0,2,100,31789.9,43.21,81.6,0.44300000000000006,28,1
ZIM200CHE,46.877091666666665,7.46502777777778,956.5,4,100,31121.4,42.919999999999995,111.1,0.45200000000000007,1,8
ZIM300CHE,46.877091666666665,7.46502777777778,956.5,11,100,31113.6,43.029999999999994,108.0,0.45299999999999996,1,11
ANKR00TUR,39.888000000000005,32.759,975.191,3,100,10771.4,42.16,656.7,0.655,49,5
HUEG00DEU,47.834,7.596,278.745,11,100,32414.1,45.260000000000005,166.6,0.347,1,12
KGNI00JPN,35.71,139.488,123.949,2,100,22281.0,42.45,1175.6,1.087,0,9
LCK300IND,26.912,80.956,64.57600000000001,11,90,27728.88888888889,44.088888888888896,23.77777777777778,0.25333333333333335,55,2
