id,#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName
350,WUHN00CHN,-2267750.266,5009156.142,3221291.898,30.531999999999996,114.35700000000001,28.635,TRIMBLE NETR9
351,XMIS00AUS,-1696344.7528,6039590.0108,-1149275.0817,-10.45,105.689,261.91700000000003,TRIMBLE NETR9
352,YAR200AUS,-2389026.6119999997,5043317.0539,-3078529.5552,-29.046999999999997,115.34700000000001,241.685,TRIMBLE ALLOY
353,YAR300AUS,-2389043.7677,5043313.5822,-3078524.39,-29.046,115.34700000000001,242.855,SEPT POLARX5
354,YARR00AUS,-2389025.5745,5043315.5343,-3078532.9739,-29.046999999999997,115.34700000000001,241.75599999999997,SEPT POLARX5
355,YEBE00ESP,4848724.95,-261632.509,4123093.952,40.525,-3.089,973.2489999999999,LEICA GR50
356,YEL200CAN,-1224441.9824,-2689174.6494,5633660.3762,62.481,-114.48100000000001,181.452,SEPT POLARX5TR
357,YELL00CAN,-1224452.4,-2689216.0,5633638.2,62.481,-114.48100000000001,181.168,JAVAD TRE_3N DELTA
358,YKRO00CIV,6306439.897000001,-578380.7829999999,757956.4809999999,6.871,-5.24,270.584,JAVAD TRE_3 DELTA
359,ZAMB00ZMB,5415353.011,2917209.914,-1685888.865,-15.425999999999998,28.311,1325.318,JAVAD TRE_3 DELTA
360,ZECK00RUS,3451175.15,3060335.95,4391955.97,43.788000000000004,41.565,1167.4160000000002,JAVAD TRE_3 DELTA
361,ZIM200CHE,4331300.16,567537.081,4633133.51,46.876999999999995,7.465,956.8810000000001,TRIMBLE NETR9
362,ZIM300CHE,4331300.16,567537.081,4633133.51,46.876999999999995,7.465,956.8810000000001,TRIMBLE NETR9
