#------------------------------------------------------------------------
-------
# LIST OF STATIONS PROPOSED FOR IGS REPRO3, SORTED BY PRIORITY LEVELS
#------------------------------------------------------------------------
-------
#
# - pr : priority level [1-11]
# - code : 4-char station ID
# - net : network ID
#
# Priority levels (number of stations in each level):
# - 1 (66) : A revised/simplified version of the IGS14 core network. The
aim of
# this minimalist selection of well-distributed RF stations
is
# twofold: a) allow the alignment of the AC repro3 solutions
to
# IGS14, and b) ensure an overlap between the different AC
solutions
# necessary for their combination. Note that some priority 1
# stations are meant to be used one after the other (e.g.,
CHAT then
# CHTI).
# - 2 (103): GNSS stations for which a local tie to a DORIS, SLR or VLBI
# station is available. Those are of course fundamental to
the
# construction of ITRF2020. In case several GNSS stations are
tied
# to the same DORIS, SLR or VLBI station, only one of them
was given
# priority 2, while the others were given priority 3.
# - 3 (52) : a) Remaining GNSS stations for which a local tie to a
DORIS, SLR
# or VLBI station is available. Those are important since
they bring
# redundancy at some co-location sites.
# b) GNSS stations co-located, but not tied to a DORIS, SLR
or VLBI
# station. Those are important since they bring at least
inter-
# technique velocity constraints at co-location sites where
no local
# tie is available.
# - 4 (122): Remaining IGS14 stations. Useful to allow better alignments
of the
# AC repro3 solutions to IGS14 than with the priority 1
stations
# only. Also natural good candidates for the next IGS RF.
# - 5 (86) : Other IGS stations that would be good candidates for the
next IGS
# RF, i.e. with long, stable time series, and either located
in
# areas not well covered by IGS14 or deemed useful by APREF,
EUREF,
# SIRGAS or SONEL.
# - 6 (10) : Ten fundamental CORS stations of special interest to NGS.
# - 7 (66) : A handpicked selection of stations proposed by APREF,
EUREF, NGS,
# SIRGAS and SONEL, which nicely complement the geographical
# distribution of the higher priority stations.
# - 8 (28) : Other non-IGS stations with nice time series, located in
areas
# not well covered by higher priority stations.
# - 9 (324): The remaining stations proposed by APREF, BKG, EUREF, NGS,
NRCAN,
# SIRGAS and SONEL.
# - 10 (65) : Even more (low-priority) Australian stations proposed by
APREF.
# - 11 (290): All remaining IGS stations. Those are of little interest
from the
# RF point of view. However, having them included in repro3
would
# allow to fulfill the recommendation made by the
Infrastructure
# Committee at the IGS 2017 Workshop "to provide [...] weekly
# positions for ALL IGS network stations", at least over the
repro3
# period.
#
# Links to site logs of each network:
# - apref : ftp://ftp.ga.gov.au/geodesy-outgoing/gnss/logs
# - epn : ftp://epncb.oma.be/pub/station/log
# - geonet : ftp://ftp.geonet.org.nz/gps/sitelogs/logs
# - gref : ftp://igs.bkg.bund.de/GREF/station
# - igs : ftp://igs.org/pub/station/log
# - igsold : ftp://igs.org/pub/station/oldlog
# - ngs : ftp://www.ngs.noaa.gov/cors/station_log
# - nrcan : ftp://rtopsdata1.geod.nrcan.gc.ca/gps/station_logs
# - oafa : http://ramsac.ign.gob.ar/ver_formulario_igs.php?e=T0FGQQ==
# - sirgas : ftp://ftp.sirgas.org/pub/gps/DGF/station/log
# - sonel : ftp://ftp.sonel.org/meta/gpslog
# - ucsd : ftp://garner.ucsd.edu/pub/docs/station_logs
# - unavco : ftp://data-out.unavco.org/pub/logs
#
# Links to RINEX files of each network:
# - apref : ftp://ftp.ga.gov.au/geodesy-outgoing/gnss/data/daily
# - epn : ftp://ftp.epncb.oma.be/pub/obs
# - geonet : ftp://ftp.geonet.org.nz/gps
# - gref : ftp://igs.bkg.bund.de/GREF/obs
# - igs : ftp://cddis.gsfc.nasa.gov/pub/gps/data/daily
# ftp://igs.ensg.ign.fr/pub/igs/data/
# ftp://gssc.esa.int/gnss/data
# ftp://lox.ucsd.edu/pub/rinex
# ftp://nfs.kasi.re.kr/
# ftp://igs.gnsswhu.cn/
# - igsold : ftp://cddis.gsfc.nasa.gov/pub/gps/data/daily
# ftp://igs.ensg.ign.fr/pub/igs/data/
# ftp://gssc.esa.int/gnss/data
# ftp://lox.ucsd.edu/pub/rinex
# ftp://nfs.kasi.re.kr/
# ftp://igs.gnsswhu.cn/
# - ngs : ftp://www.ngs.noaa.gov/cors/rinex
# - nrcan : ftp://rtopsdata1.geod.nrcan.gc.ca/gps/data/gpsdata
# - oafa : ftp://ftp.unsj.edu.ar/agrimensura/EstacionPermanente OAFA
# - sirgas : ftp://igs.ign.fr/pub/igs/data
# - sonel : ftp://ftp.sonel.org/gps/data
# - ucsd : ftp://garner.ucsd.edu/pub/rinex
# - unavco : ftp://data-out.unavco.org/pub
#
#------------------------------------------------------------------------
  pr  code   net       lat(deg)    lon(deg) 
  3   KTVL   epn        44.3929     33.9695 
  3   LAMP   epn        35.4995     12.6057 
  3   METZ   igsold     60.2175     24.3953 
  3   OHI3   igs       -63.3211    -57.9014 
  3   PHLW   unavco     29.8615     31.3434 
  3   PLTC   ngs        40.1816   -104.7259 
  3   PTGG   igs        14.5354    121.0413 
  3   RCM5   ngs        25.6138    -80.3839 
  3   RCM6   igsold     25.6138    -80.3839 
  3   SEAT   ngs        47.6540   -122.3095 
  3   STJ2   nrcan      47.5952    -52.6783 
  3   STJ3   igs        47.5954    -52.6783 
  3   STR2   igs       -35.3162    149.0102 
  3   THTG   igs       -17.5771   -149.6064 
  3   THU2   igs        76.5370    -68.8250 
  3   TLSG   igs        43.5497      1.4850 
  3   TRIE   sonel      45.7098     13.7635 
  3   TRO1   igs        69.6627     18.9396 
  3   TUC2   epn        35.5332     24.0706 
  3   USUD   igs        36.1331    138.3620 
  3   WTZA   igs        49.1442     12.8789 
  3   WTZZ   igs        49.1442     12.8789 
  3   WVGB   ngs        38.4301    -79.8170 
  3   YAR3   igs       -29.0465    115.3471 
  3   YARR   igs       -29.0466    115.3470 
  3   YEL2   igs        62.4813   -114.4808 
  4   ABMF   igs        16.2623    -61.5275 
  4   ABPO   igs       -19.0183     47.2292 
  4   ADE1   igsold    -34.7290    138.6473 
  4   ADIS   igs         9.0351     38.7663 
  4   ALIC   igs       -23.6701    133.8855 
  4   ALRT   igs        82.4943    -62.3405 
  4   AMC2   igsold     38.8031   -104.5246 
  4   AREV   igsold    -16.4655    -71.4928 
  4   ARTU   igs        56.4298     58.5605 
  4   AUCK   igs       -36.6028    174.8344 
  4   BARH   igs        44.3950    -68.2217 
  4   BHR1   igsold     26.2091     50.6081 
  4   BILI   igsold     68.0761    166.4380 
  4   BJCO   igs         6.3847      2.4500 
  4   BJNM   igs        40.2453    116.2241 
  4   BRUS   igsold     50.7978      4.3592 
  4   BRUX   igs        50.7981      4.3586 
  4   BSHM   igs        32.7790     35.0200 
  4   BUCU   igs        44.4639     26.1257 
  4   CAGZ   igsold     39.1359      8.9728 
  4   CEDU   igs       -31.8667    133.8098 
  4   CFAG   igsold    -31.6022    -68.2326 
  4   CHUM   igs        42.9985     74.7511 
  4   CHUR   igs        58.7591    -94.0887 
  4   CNMR   igs        15.2297    145.7431 
  4   DARW   igs       -12.8437    131.1327 
  4   DAV1   igs       -68.5773     77.9726 
  4   DGAR   igs        -7.2697     72.3702 
  4   DGAV   igsold     -7.2697     72.3702 
  4   DRAG   igs        31.5932     35.3921 
  4   DUBO   igs        50.2588    -95.8662 
  4   EBRE   igs        40.8209      0.4923 
  4   FAA1   igs       -17.5553   -149.6143 
  4   FALK   igs       -51.6937    -57.8741 
  4   FLIN   igs        54.7256   -101.9780 
  4   FLRS   igs        39.4538    -31.1264 
  4   FUNC   igs        32.6479    -16.9076 
  4   GANP   igs        49.0347     20.3229 
  4   GMAS   igsold     27.7648    -15.6343 
  4   GOL2   igs        35.4252   -116.8893 
  4   GUAO   igs        43.4711     87.1773 
  4   GUAT   igs        14.5904    -90.5202 
  4   HLFX   igs        44.6835    -63.6113 
  4   HNLC   igs        21.3033   -157.8645 
  4   HOLB   igs        50.6404   -128.1350 
  4   HOLM   igs        70.7364   -117.7609 
  4   HYDE   igs        17.4173     78.5509 
  4   INVK   igs        68.3062   -133.5270 
  4   IQAL   igs        63.7560    -68.5105 
  4   IRKM   igs        52.2190    104.3162 
  4   JOZE   igs        52.0973     21.0315 
  4   KARR   igs       -20.9814    117.0972 
  4   LAUT   igs       -17.6088    177.4466 
  4   LHAS   igsold     29.6573     91.1040 
  4   LPAL   igs        28.7640    -17.8938 
  4   LPGS   igs       -34.9067    -57.9323 
  4   LROC   igs        46.1589     -1.2193 
  4   MAR6   igs        60.5951     17.2585 
  4   MAT1   igs        40.6491     16.7045 
  4   MAW1   igs       -67.6048     62.8707 
  4   MBAR   igs        -0.6015     30.7379 
  4   MCM4   igs       -77.8383    166.6693 
  4   MOBS   igs       -37.8294    144.9753 
  4   MQZG   igs       -43.7027    172.6547 
  4   NAIN   igs        56.5370    -61.6887 
  4   NANO   igs        49.2948   -124.0865 
  4   NAUR   igs        -0.5517    166.9256 
  4   NICO   igs        35.1410     33.3964 
  4   NIST   igs        39.9951   -105.2626 
  4   NISU   igsold     39.9954   -105.2623 
  4   NIUM   igs       -19.0766   -169.9271 
