sys_name,PRN,ABMK00GLP,ABPO00MDG,ACRG00GHA,AGGO00ARG,AIRA00JPN,AJAC00FRA,SDDA00GHA
C,C07,0.0,1.0,0.0,0.0,0.0,1.0,0.0
C,C08,0.0,1.0,0.0,0.0,0.0,1.0,0.0
C,C09,0.0,1.0,1.0,0.0,0.0,1.0,1.0
C,C10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
C,C11,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C12,1.0,1.0,1.0,1.0,0.0,0.0,1.0
C,C13,0.0,1.0,1.0,0.0,0.0,1.0,1.0
C,C14,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C16,0.0,1.0,0.0,0.0,0.0,1.0,0.0
C,C19,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C20,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C21,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C22,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C23,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C24,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C25,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C26,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C27,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C28,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C29,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C30,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C32,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C33,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C34,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C35,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C36,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C37,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C38,0.0,1.0,0.0,0.0,0.0,1.0,0.0
C,C39,0.0,1.0,0.0,0.0,0.0,1.0,0.0
C,C40,0.0,1.0,0.0,0.0,0.0,1.0,0.0
C,C41,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C42,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C43,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C44,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C45,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C46,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C,C59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,C60,0.0,1.0,0.0,0.0,0.0,1.0,0.0
C,C61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,J01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,J02,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J,J03,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J,J07,0.0,1.0,0.0,0.0,1.0,0.0,0.0
I,I01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,I02,0.0,0.0,1.0,0.0,0.0,0.0,1.0
I,I03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,I04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,I05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,I06,0.0,0.0,1.0,0.0,0.0,0.0,1.0
I,I07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
